"Year","Pack","PackYear","WhelpDate","WhelpYday","PackSize","littersize","yrlsurv","Rain_PostDenningMonths","Rain_DenningMonths","mean_conception_temp","mean_max_conception_temp","mean_postdenning_temp","mean_max_postdenning_temp","mean_denning_temp","mean_max_denning_temp","mean_whelping_temp","max_whelping_temp","Rain_WhelpMonth","Rain_ConceptionMonth","WhelpDaysBeforeNadir","yearly_temp_mean","yearly_temp_max","denning_temp_mean","denning_temp_max","Sep_temp_mean","Sep_temp_max","May_temp_mean","May_temp_max","March_temp_mean","March_temp_max","May_rain","March_rain","prev_Sep_rain","Annual_rain","prev_yearly_temp_mean","prev_yearly_temp_max","prev_Annual_rain"
2018,"BEANIE","BEANIE-2018",2018-06-15,166,8,7,NA,330.6,5.9,26.5408481111111,30.743048,29.2036735052993,34.3929013076099,22.9655650403846,28.7942146153846,17.25178775,25.0099,1,28.9,15,28.5855987657763,52.5749,23.5114951774237,41.55014,30.4514608055556,41.55014,23.6388338709677,32.59829,27.1307511827957,37.56814,5.6,53.9,3,378.8,26.3087854396689,50.56045,439.6
2018,"APOKA","APOKA-2018",2018-06-17,168,20,11,NA,330.6,5.9,26.5158706111111,30.758074,29.1996174548274,34.3802371535983,23.2501133114469,29.1084448351648,18.59061425,25.13671,1,28.9,13,28.5855987657763,52.5749,23.5114951774237,41.55014,30.4514608055556,41.55014,23.6388338709677,32.59829,27.1307511827957,37.56814,5.6,53.9,3,378.8,26.3087854396689,50.56045,439.6
2018,"MOUNTAINS","MOUNTAINS-2018",2018-07-06,187,13,13,NA,364.2,18.5,27.5069557222222,32.9117966666667,29.1092459900705,34.2733900219298,26.3838933946886,32.1262518681319,17.4253458333333,19.22265,0.5,28.9,-6,28.5855987657763,52.5749,23.5114951774237,41.55014,30.4514608055556,41.55014,23.6388338709677,32.59829,27.1307511827957,37.56814,5.6,53.9,3,378.8,26.3087854396689,50.56045,439.6
2019,"MMABARBIE","MMABARBIE-2019",2019-05-15,135,NA,4,NA,297.5,6,35.4819785299145,41.134882,28.561668687884,33.6684137896494,22.5865709961538,29.0964741758242,29.0674183333333,34.27174,4.4,48.2,46,29.9368763974429,52.76535,24.0527621808824,48.59766,31.2480039722222,48.59766,26.9663219354839,35.38888,34.1595482795699,43.37746,4.4,48.2,4,377.6,28.5855987657763,52.5749,378.8
2019,"ASCENSION","ASCENSION-2019",2019-05-29,149,NA,9,NA,297.5,6,33.9611235555556,38.56922,28.648194739389,33.7441176923077,22.4190544421245,29.0928269230769,23.1440808333333,28.00163,4.4,48.2,32,29.9368763974429,52.76535,24.0527621808824,48.59766,31.2480039722222,48.59766,26.9663219354839,35.38888,34.1595482795699,43.37746,4.4,48.2,4,377.6,28.5855987657763,52.5749,378.8
2019,"APOKA","APOKA-2019",2019-06-01,152,NA,12,6,297.5,1.6,34.0955735,39.0987333333333,28.6513938166539,33.7324520446735,22.6053409531136,29.3531812087912,22.1705858333333,27.97096,1,48.2,29,29.9368763974429,52.76535,24.0527621808824,48.59766,31.2480039722222,48.59766,26.9663219354839,35.38888,34.1595482795699,43.37746,4.4,48.2,4,377.6,28.5855987657763,52.5749,378.8
2019,"MULA","MULA-2019",2019-06-18,169,NA,12,NA,350.3,4.9,30.1517370555556,34.6121693333333,28.6359610244116,33.6767101769912,23.9542826619048,30.8463798901099,20.8951183333333,26.52697,1,37.6,12,29.9368763974429,52.76535,24.0527621808824,48.59766,31.2480039722222,48.59766,26.9663219354839,35.38888,34.1595482795699,43.37746,4.4,48.2,4,377.6,28.5855987657763,52.5749,378.8
2019,"WARRIOR","WARRIOR-2019",2019-06-24,175,NA,5,NA,350.3,4.9,29.3497163333333,33.8589446666667,28.5955463007618,33.6381126833631,24.7627233862637,31.5810293406593,19.850642,26.99394,1,37.6,6,29.9368763974429,52.76535,24.0527621808824,48.59766,31.2480039722222,48.59766,26.9663219354839,35.38888,34.1595482795699,43.37746,4.4,48.2,4,377.6,28.5855987657763,52.5749,378.8
2020,"SPRING","SPRING-2020",2020-05-27,148,NA,6,NA,135,5.6,29.8895598333333,35.1011946666667,29.3447497875729,33.9579415837104,20.3341437417582,26.490250989011,21.8855658333333,26.30672,3.8,53.2,17,27.4344982094718,47.24503,24.9643929198257,46.31311,29.8847281944444,46.31311,23.7359330322581,34.65598,27.4855903494624,40.37795,3.8,53.2,3.3,398.2,29.9368763974429,52.76535,377.6
2020,"APOKA","APOKA-2020",2020-05-29,150,NA,12,NA,135,5.6,29.0502002777778,33.7297953333333,29.3603056874594,33.9479315068493,20.4886057472527,26.6621526373626,19.6775258333333,27.27015,3.8,53.2,15,27.4344982094718,47.24503,24.9643929198257,46.31311,29.8847281944444,46.31311,23.7359330322581,34.65598,27.4855903494624,40.37795,3.8,53.2,3.3,398.2,29.9368763974429,52.76535,377.6
2020,"Mojo","Mojo-2020",2020-07-25,207,NA,NA,NA,129.9,25.4,24.121531,29.9439233333333,28.5884561093844,32.7550207407407,28.2829234880952,34.3739472527473,20.2530808333333,25.14786,0.3,3.8,-42,27.4344982094718,47.24503,24.9643929198257,46.31311,29.8847281944444,46.31311,23.7359330322581,34.65598,27.4855903494624,40.37795,3.8,53.2,3.3,398.2,29.9368763974429,52.76535,377.6
